text,label
CHAPTER 1: INTRODUCTION,heading_intro
I. INTRODUCTION,heading_intro
1. INTRODUCTION,heading_intro
Background of the Study,heading_intro
Statement of the Problem,heading_intro
Objectives of the Study,heading_intro
Significance of the Study,heading_intro
Scope and Delimitation,heading_intro
CHAPTER I,heading_intro
INTRODUCTION AND BACKGROUND,heading_intro
CHAPTER 3: METHODOLOGY,heading_methods
CHAPTER III,heading_methods
RESEARCH METHODOLOGY,heading_methods
Research Design,heading_methods
Participants of the Study,heading_methods
Data Gathering Procedure,heading_methods
Statistical Treatment of Data,heading_methods
M E T H O D O L O G Y,heading_methods
System Development Methodology,heading_methods
CHAPTER 4: RESULTS AND DISCUSSION,heading_results
CHAPTER IV,heading_results
RESULTS AND DISCUSSIONS,heading_results
"PRESENTATION, ANALYSIS AND INTERPRETATION OF DATA",heading_results
4. RESULTS,heading_results
System Testing Results,heading_results
Software Evaluation Results,heading_results
R E S U L T S,heading_results
"CHAPTER 5: SUMMARY, CONCLUSIONS AND RECOMMENDATIONS",heading_discussion
CHAPTER V,heading_discussion
CONCLUSIONS AND RECOMMENDATIONS,heading_discussion
Summary of Findings,heading_discussion
5. Conclusion,heading_discussion
Implications and Recommendations,heading_discussion
CHAPTER 2: REVIEW OF RELATED LITERATURE,heading_other
REVIEW OF RELATED LITERATURE AND STUDIES,heading_other
Conceptual Framework,heading_other
Theoretical Framework,heading_other
ABSTRACT,heading_other
ACKNOWLEDGEMENT,heading_other
TABLE OF CONTENTS,heading_other
LIST OF FIGURES,heading_other
REFERENCES,heading_other
BIBLIOGRAPHY,heading_other
APPENDICES,heading_other
The main objective of this archiving system is to utilize BERT NLP for semantic search.,body_text
This study utilizes a descriptive quantitative research design to gather necessary data.,body_text
A total of 50 respondents from the Department of Computer Science evaluated the system.,body_text
"Table 4 shows that the system achieved an overall weighted mean of 4.54, interpreted as Excellent.",body_text
"Based on the findings, the researchers conclude that the machine learning approach is viable.",body_text
The Vue.js frontend communicates with the FastAPI backend via RESTful endpoints.,body_text
DistilBERT was fine-tuned to classify text chunks into their respective IMRAD sections.,body_text
"Therefore, it is recommended to expand the dataset to include varying formats.",body_text
The researchers utilized Tesseract OCR to extract text from scanned PDF documents.,body_text
"During the testing phase, several bugs were encountered and subsequently resolved.",body_text
"As seen in Figure 2, the system architecture consists of three main modules.",body_text
The proponents recommend that future researchers implement a cloud-based database.,body_text
"This chapter presents the data gathered, alongside its corresponding analysis.",body_text
In partial fulfillment of the requirements for the degree of Bachelor of Science in Information Technology.,body_text
14,junk
iv,junk
Cavite State University,junk
CvSU,junk
Imus Campus,junk
Table 1.1,junk
Figure 4. System Flowchart,junk
METH0D0L0GY,junk
............,junk
Contribution No.,junk
Adviser:,junk
Department of Computer Science,junk
2026,junk
"Manila City, Metro Manila and is now residing in Block 28, Lot 14, Molino Homes II,",body_text
The only sibling he has is Jayson B. Razonado having the same birthday as him being,body_text
Scout troops of the school during his stay at the said institution. His first junior high,body_text
"artist in Filipino journalism. At his senior high school, he tried to pick up his interest in",body_text
"At a stroke of 3:28 a.m. on the day of Thursday, December 06, 2001, a child",body_text
TABLE OF CONTENTS .....................................................................................      viii,heading_other
INTRODUCTION ................................................................................................        1,heading_intro
METHODOLOGY ..............................................................................................      26,heading_methods
Research Design ....................................................................................      26,heading_methods
RESULTS AND DISCUSSIONS .........................................................................      33,heading_results
REFERENCES ...................................................................................................      40,heading_other
APPENDICES ....................................................................................................      44,heading_other
INTRODUCTION,heading_intro
costlier and more used for gourmet or premium use due to its rich flavor and laborious,body_text
"primary aim of such a model is for early detection, which is essential to avoid spreading",body_text
glance. One should know the millions of leaves and beans seen by their naked eye to,body_text
disease it has will be send back to the phone along with its information of the detected,body_text
"the country of the Philippines, where the use of the model was not a common practice.",body_text
to die back from the tips. Eventually entire trees can die. The long-term effects of the,body_text
"models. In this case, the Coffee leaves dataset of the two types of coffee plant and",body_text
processes the entire image in one go.  It is a single-stage object detector that uses a,body_text
it was reclassified as a variety of C. liberica and now called as Coffea liberica var.,body_text
"the two, which is their flavor and rarity. Excelsa has a fruity, tart profile with unique",body_text
This coffee was the second most important type of coffee after Arabica in the world. It,body_text
network’s weights that can be too large and may not fit on the device’s memory; and,body_text
"farmers all over the country who played at the core of this revival (Kape de Filipina,",body_text
increase of 1.8% from the 2.72 thousand metric tons in the same quarter of the year.,body_text
of the total production. The area planted for all types of coffee from January to June,body_text
"NAS in terms of whole pod disease detection, with 97.9% mAP and a recall of 98.8%.",body_text
the most common way to identify the type of coffee leaf and detect any disease spots,body_text
"it may have. From the shape, texture, and size of the leaf to determine its type. While",body_text
"the spot of its disease can be based on look, texture, and size of the affected area. As",body_text
Yet XAMPP was still in the line for testing the server setup locally and Docker to handle,body_text
Detecting diseases is not a new thing in the field of research with the likes of,body_text
"different studies with the likes of Abid et al. In 2024, Liu and Yasenjian in 2024, He et",body_text
"al in 2024, Wang and Liu in 2024, and Madhurya and Jubilson in the same year. Yet,",body_text
"detecting diseases on coffee plant is not a new thing too, with the likes of Nawaz et al.",body_text
"on the creation only of the model and improving its accuracy, this is great, yet the",body_text
problem lies with its accuracy in terms of its usage in the field. Hence the use of,body_text
referenced paper yet still being able to utilize the model on the field area of a nursery,body_text
METHODOLOGY,heading_methods
evaluate the system. It is a type of sampling which the first available ones as primary,body_text
"data source to be used without any more requirements. Simply, it is an attempt to get",body_text
"Ranking. This is a relationship between a set of items such that, for any two items, the",body_text
indicator that tells “All the features of the Application are working” with a mean of 4.7.,body_text
that tells “The application is easy to use and understand” with a mean of 4.88. While,body_text
"that tells "" The system runs stably without crashing or freezing"" with a mean of 4.58.",body_text
"highest weighted mean is observed at usability with a mean of 4.68. On the other hand,",body_text
could be the guide for them in learning more of coffee disease found and detected in,body_text
Results based on the International Organization for Standardization or ISO/IEC,heading_results
"findings of this study, it would like to recommend the following:",heading_results
6. provide a way to monitor and manage a coffee plant base on its leaves and the,body_text
"Abid, Md. S. Z., Jahan, B., Mamun, A. A., Hossen, Md. J., & Mazumder, S. H. (2024).",body_text
"Baldovino, R. G., Lim, R. A. U., Salvador, P. R. R., & Tiamzon, E. A. P. (2024). Real-",body_text
"Esgario, J. G. M., De Castro, P. B. C., Tassis, L. M., & Krohling, R. A. (2022). An app",body_text
"He, Y., Peng, Y., Wei, C., Zheng, Y., Yang, C., & Zou, T. (2024). Automatic Disease",body_text
"Javierto, D. P. P., Martin, J. D. Z., & Villaverde, J. F. (2021). Robusta Coffee Leaf",body_text
"Lelis, A. K., Ferriols, E. G., Vallesteros, K. M., & Delmo, J. A. (2023). A Comparative",body_text
"Luis, V. A. M., Quiñones, M. V. T., & Yumang, A. N. (2022). Classification of Defects",body_text
"Padilla, J. I. A., Pastor, H. M. R., Velasco, A. C. T., & Magsumbol, J.-A. V. (2024).",body_text
"Suarez, G. I., Cubilla, N. I. A., & Hortinela, C. C. (2024). Defect Classification of Green",body_text
"Wang, A., Chen, H., Liu, L., Chen, K., Lin, Z., Han, J., & Ding, G. (2024, October 30).",body_text
Table 11. Summary of general rating of the reliability of the system as rated by the,body_text
"results = chosen_model.predict(img,",heading_results
results =,heading_results
introduction.isVisible);,heading_intro
"backgroundColor: ""#333"",",heading_intro
"backgroundColor: ""rgba(255, 255,",heading_intro
Introduction,heading_intro
Results and Discussion,heading_results
8th of November in 2001. He is currently residing at blk 5 lot 2 Mambog 1 Village,body_text
Mambog 1 Bacoor Cavite. His father is Recto C. Abut and her mother is Maria Ana Z.,body_text
determined to take the course he has taken. He is expecting to graduate in month of,body_text
on the 25th of March 2002. He is currently residing at Blk 11 Lot 31 Phase-A Istana,body_text
"on the 19th of December 2000. He is currently residing at San Nicolas 3, Bacoor City,",body_text
Cavite. His father is Ernesto Nebres and her mother is Mary Jane Nebres. He is the,body_text
TABLE OF CONTENTS ………………………………………………………….,heading_other
INTRODUCTION ………………………………………………………………….,heading_intro
METHODOLOGY ………………………………………………………………....,heading_methods
Discussion of the Methodology Phases …………………………………,heading_results
REFERENCES …………………………………………………………………....,heading_other
APPENDICES ……………………………………………………………………..,heading_other
if there are more employed and job seekers in the country. These data are divided into,body_text
WAMP is an open-source web server packages for running a web server on a PC. It,body_text
"more likely to result in a decline in the demand for labor. are those who are ""so-so,""",body_text
Poor work designs are present not just in terms of the extremely low pay and the poor,body_text
"companies and HR professionals prior to the pandemic, it is no longer an area that is",body_text
results of Panel-corrected Prais–Winsten Generalized Least Squares (GLS),heading_results
RESULTS AND DISCUSSION,heading_results
Discussion of the Methodology Phases,heading_results
"to ensure if it's working properly. By doing the initial testing, it will help them to identify",body_text
and assess the errors so that they can modify the errors that will occur during the initial,body_text
"system. By launching the system, it will be available and accessible to the users for use",body_text
"with the value of 3.81 evaluated that it provides easy to fill-up form, while there’s also",body_text
and the second lowest mean score with the value of 3.58 evaluated that it reduced the,body_text
"error of manual input of data, while the highest mean score with the value of 3.69",body_text
results of overall system interpret Very Good.,heading_results
the form via online that reduces their time in queuing and formally showing up to Public,body_text
"registration form from applicants that can be view, delete, and save as pdf file and to",body_text
"in Gandara, Samar. He is the firstborn among the three children of Joey P. Mabini and",body_text
Cavite. He is the third son among three children of Cesar C. Decolongon and Flora S.,body_text
TABLE OF CONTENTS ...............................................................................................vii,heading_other
INTRODUCTION............................................................................................................ 1,heading_intro
METHODOLOGY ........................................................................................................ 15,heading_methods
RESULTS AND DISCUSSION.................................................................................... 21,heading_results
Discussion of the Methodology Phases .......................................................... 21,heading_results
REFERENCES ............................................................................................................ 32,heading_other
APPENDICES  ............................................................................................................. 33,heading_other
"the heavy traffic the commuters face every day, that is why people choose to ride on",body_text
"office tools on a computer. With all that said, they are still not free from the hindrances",body_text
of a graph which covers the sales in several months and a year. The data presented,body_text
Sales Agent will assist the customer to get their details and would be listed for a home,body_text
"be declined if they are shown to be unable to afford a motorcycle, while on the other",body_text
depending on where they paid. The rebates are higher if a customer pays on the actual,body_text
"with the help of a decision support system. In their abstract, they stated that they were",body_text
"Hotspring Resort"" was made to give the owner of the resort the ability to manage their",body_text
"untrained per facility, and the needs of the facilities when it comes to the training of the",body_text
facilities in the Province of Bataan. The study revealed that 14 out of 24 (58%) of the,body_text
10 out of 24 (42%) of the RHUs used a health information system. Twenty-one out of,body_text
"help of the interview with the client. In the initial interview of the client, a descriptive",body_text
"1. A transaction starts with a customer having an inquiry about a unit, on this step,",body_text
which a sales agent is required to do a home visit to determine if the customer,body_text
"6. The last phase is the payment, The payment can be in the form of cash or",body_text
"to deliver a working functionality that is a part of the product backlog, the main functions",body_text
it aligns with the overall objectives of the project. The system is discarded once a new,body_text
