heading_text,section
CHAPTER I,introduction
CHAPTER ONE,introduction
CHAPTER 1,introduction
INTRODUCTION,introduction
I. INTRODUCTION,introduction
1. INTRODUCTION,introduction
THE PROBLEM AND ITS BACKGROUND,introduction
THE PROBLEM AND ITS SETTING,introduction
PROBLEM AND ITS BACKGROUND,introduction
BACKGROUND OF THE STUDY,introduction
INTRODUCTION AND BACKGROUND,introduction
PROJECT CONTEXT,introduction
CONTEXT OF THE STUDY,introduction
CONTEXT OF THE PROJECT,introduction
PURPOSE OF THE STUDY,introduction
CHAPTER III,methods
CHAPTER THREE,methods
CHAPTER 3,methods
METHODOLOGY,methods
METHODS,methods
RESEARCH METHODOLOGY,methods
MATERIALS AND METHODS,methods
III. METHODOLOGY,methods
3. METHODOLOGY,methods
RESEARCH DESIGN AND METHODOLOGY,methods
RESEARCH METHOD,methods
METHOD OF RESEARCH,methods
METHODS AND PROCEDURES,methods
RESEARCH PROCEDURES,methods
DESIGN AND METHODOLOGY,methods
PAMAMARAAN NG PANANALIKSIK,methods
RESEARCH DESIGN,methods
RESEARCH LOCALE,methods
RESEARCH INSTRUMENT,methods
CHAPTER IV,results
CHAPTER FOUR,results
CHAPTER 4,results
IV. RESULTS,results
4. RESULTS,results
FINDINGS,results
PRESENTATION OF DATA,results
PRESENTATION AND ANALYSIS OF DATA,results
ANALYSIS AND INTERPRETATION,results
DATA PRESENTATION,results
ANALYSIS AND DISCUSSION OF RESULTS,results
"PRESENTATION, ANALYSIS AND INTERPRETATION",results
DATA ANALYSIS AND INTERPRETATION,results
RESULTS,results
RESEARCH FINDINGS,results
SYSTEM EVALUATION RESULTS,results
SOFTWARE EVALUATION RESULT,results
SYSTEM SOFTWARE EVALUATION RESULT,results
EVALUATION RESULTS,results
RESULTS AND DISCUSSION,results_and_discussion
RESULTS AND DISCUSSIONS,results_and_discussion
IV. RESULTS AND DISCUSSION,results_and_discussion
4. RESULTS AND DISCUSSION,results_and_discussion
CHAPTER IV RESULTS AND DISCUSSION,results_and_discussion
"PRESENTATION, ANALYSIS AND INTERPRETATION OF DATA",results_and_discussion
ANALYSIS AND INTERPRETATION OF DATA,results_and_discussion
"PRESENTATION, ANALYSIS, AND INTERPRETATION OF DATA",results_and_discussion
RESULTS AND ANALYSIS,results_and_discussion
FINDINGS AND DISCUSSION,results_and_discussion
DATA PRESENTATION AND ANALYSIS,results_and_discussion
DISCUSSION OF RESULTS,results_and_discussion
ANALYSIS AND DISCUSSION,results_and_discussion
CHAPTER V,discussion
CHAPTER FIVE,discussion
CHAPTER 5,discussion
CONCLUSION,discussion
CONCLUSIONS,discussion
CONCLUSIONS AND RECOMMENDATIONS,discussion
CONCLUSION AND RECOMMENDATION,discussion
SUMMARY CONCLUSIONS AND RECOMMENDATIONS,discussion
V. CONCLUSION,discussion
5. CONCLUSION,discussion
"SUMMARY, CONCLUSIONS AND RECOMMENDATIONS",discussion
SUMMARY AND CONCLUSIONS,discussion
"SUMMARY, FINDINGS, CONCLUSIONS AND RECOMMENDATIONS",discussion
SUMMARY OF FINDINGS,discussion
IMPLICATIONS AND RECOMMENDATIONS,discussion
SUMMARY AND RECOMMENDATION,discussion
SUMMARY OF THE STUDY,discussion
RECOMMENDATIONS,discussion
